condition,anthropic/claude-3-5-haiku-latest,Mean
"source_components/ablation,bad_median.py,bad_import.py,300.py,extreme",1.0,1.0
"source_components/ablation,bad_median.py,bad_import.py,300.py,moderate",1.0,1.0
"source_components/ablation,bad_median.py,bad_import.py,300.py,none",1.0,1.0
"source_components/ablation,bad_median.py,bad_import.py,4000.py,extreme",0.0,0.0
"source_components/ablation,bad_median.py,bad_import.py,4000.py,moderate",1.0,1.0
"source_components/ablation,bad_median.py,bad_import.py,4000.py,none",1.0,1.0
"source_components/ablation,bad_median.py,bad_import.py,none.py,extreme",0.0,0.0
"source_components/ablation,bad_median.py,bad_import.py,none.py,moderate",1.0,1.0
"source_components/ablation,bad_median.py,bad_import.py,none.py,none",1.0,1.0
"source_components/ablation,bad_median.py,bad_import_hint.py,300.py,extreme",0.0,0.0
"source_components/ablation,bad_median.py,bad_import_hint.py,300.py,moderate",1.0,1.0
"source_components/ablation,bad_median.py,bad_import_hint.py,300.py,none",0.0,0.0
"source_components/ablation,bad_median.py,bad_import_hint.py,4000.py,extreme",1.0,1.0
"source_components/ablation,bad_median.py,bad_import_hint.py,4000.py,moderate",1.0,1.0
"source_components/ablation,bad_median.py,bad_import_hint.py,4000.py,none",1.0,1.0
"source_components/ablation,bad_median.py,bad_import_hint.py,none.py,extreme",0.0,0.0
"source_components/ablation,bad_median.py,bad_import_hint.py,none.py,moderate",1.0,1.0
"source_components/ablation,bad_median.py,bad_import_hint.py,none.py,none",1.0,1.0
"source_components/ablation,good_median.py,bad_import.py,300.py,extreme",1.0,1.0
"source_components/ablation,good_median.py,bad_import.py,300.py,moderate",1.0,1.0
"source_components/ablation,good_median.py,bad_import.py,300.py,none",1.0,1.0
"source_components/ablation,good_median.py,bad_import.py,4000.py,extreme",1.0,1.0
"source_components/ablation,good_median.py,bad_import.py,4000.py,moderate",1.0,1.0
"source_components/ablation,good_median.py,bad_import.py,4000.py,none",1.0,1.0
"source_components/ablation,good_median.py,bad_import.py,none.py,extreme",0.0,0.0
"source_components/ablation,good_median.py,bad_import.py,none.py,moderate",0.0,0.0
"source_components/ablation,good_median.py,bad_import.py,none.py,none",1.0,1.0
"source_components/ablation,good_median.py,bad_import_hint.py,300.py,extreme",1.0,1.0
"source_components/ablation,good_median.py,bad_import_hint.py,300.py,moderate",1.0,1.0
"source_components/ablation,good_median.py,bad_import_hint.py,300.py,none",1.0,1.0
"source_components/ablation,good_median.py,bad_import_hint.py,4000.py,extreme",0.0,0.0
"source_components/ablation,good_median.py,bad_import_hint.py,4000.py,moderate",1.0,1.0
"source_components/ablation,good_median.py,bad_import_hint.py,4000.py,none",1.0,1.0
"source_components/ablation,good_median.py,bad_import_hint.py,none.py,extreme",0.0,0.0
"source_components/ablation,good_median.py,bad_import_hint.py,none.py,moderate",0.0,0.0
"source_components/ablation,good_median.py,bad_import_hint.py,none.py,none",1.0,1.0
Mean,0.72,0.72
